Date,Close
01/09/2010,"1,240"
01/08/2010,"1,020"
01/07/2010,"1,150"
01/06/2010,"1,030"
01/05/2010,"1,200"
01/04/2010,"1,270"
01/03/2010,"0,970"
01/02/2010,"0,610"
01/01/2010,"0,540"
01/12/2009,"0,690"
01/11/2009,"0,470"
01/10/2009,"0,580"
01/09/2009,"0,580"
01/08/2009,"0,530"
01/07/2009,"0,600"
01/06/2009,"0,510"
01/05/2009,"0,510"
01/04/2009,"0,450"
01/03/2009,"0,600"
01/02/2009,"0,790"
01/01/2009,"0,970"
01/12/2008,"0,880"
01/11/2008,"1,650"
01/10/2008,"1,950"
01/09/2008,"2,750"
01/08/2008,"2,700"
01/07/2008,"2,900"
01/06/2008,"3,170"
01/05/2008,"2,840"
01/04/2008,"2,700"
01/03/2008,"2,530"
01/02/2008,"2,970"
01/01/2008,"3,250"
01/12/2007,"3,900"
01/11/2007,"3,930"
01/10/2007,"4,270"
01/09/2007,"4,230"
01/08/2007,"4,280"
01/07/2007,"4,720"
01/06/2007,"4,690"
01/05/2007,"4,560"
01/04/2007,"4,300"
01/03/2007,"4,180"
01/02/2007,"4,180"
01/01/2007,"4,210"
01/12/2006,"4,160"
01/11/2006,"4,070"
01/10/2006,"4,150"
01/09/2006,"4,100"
01/08/2006,"4,190"
01/07/2006,"4,310"
01/06/2006,"4,500"
01/05/2006,"4,280"
01/04/2006,"4,200"
01/03/2006,"4,060"
01/02/2006,"4,020"
01/01/2006,"3,870"
01/12/2005,"3,920"
01/11/2005,"3,780"
01/10/2005,"3,500"
01/09/2005,"3,280"
01/08/2005,"2,940"
01/07/2005,"2,950"
01/06/2005,"2,730"
01/05/2005,"2,730"
01/04/2005,"2,790"
01/03/2005,"3,000"
01/02/2005,"2,750"
01/01/2005,"2,660"
01/12/2004,"2,700"
01/11/2004,"2,740"
01/10/2004,"2,900"
01/09/2004,"2,850"
01/08/2004,"2,630"
01/07/2004,"2,640"
01/06/2004,"2,600"
01/05/2004,"2,470"
01/04/2004,"2,160"
01/03/2004,"2,010"
01/02/2004,"2,130"
