Date,Close
01/11/2008,"1,870"
01/10/2008,"3,860"
01/09/2008,"3,040"
01/08/2008,"3,130"
01/07/2008,"3,180"
01/06/2008,"3,140"
01/05/2008,"3,090"
01/04/2008,"3,150"
01/03/2008,"3,000"
01/02/2008,"2,660"
01/01/2008,"2,690"
01/12/2007,"2,850"
01/11/2007,"2,840"
01/10/2007,"2,970"
01/09/2007,"2,890"
01/08/2007,"2,940"
01/07/2007,"2,990"
01/06/2007,"3,040"
01/05/2007,"2,770"
01/04/2007,"2,560"
01/03/2007,"2,480"
01/02/2007,"2,360"
01/01/2007,"2,440"
01/12/2006,"2,320"
01/11/2006,"2,180"
01/10/2006,"2,080"
01/09/2006,"2,030"
01/08/2006,"1,940"
01/07/2006,"1,910"
01/06/2006,"1,910"
01/05/2006,"1,770"
01/04/2006,"1,730"
01/03/2006,"1,630"
01/02/2006,"1,520"
01/01/2006,"1,380"
01/12/2005,"1,370"
01/11/2005,"1,380"
01/10/2005,"1,210"
01/09/2005,"0,980"
01/08/2005,"0,850"
01/07/2005,"0,790"
01/06/2005,"0,710"
01/05/2005,"0,810"
01/04/2005,"0,770"
01/03/2005,"0,810"
01/02/2005,"0,940"
