DATE,NFCI
1981-05-15,2.37211
1981-05-22,2.53308
1981-05-29,2.70382
1981-06-05,2.87217
1981-06-12,3.03504
1981-06-19,3.18113
1981-06-26,3.30465
1981-07-03,3.40181
1981-07-10,3.47146
1981-07-17,3.51251
1981-07-24,3.52084
1981-07-31,3.50170
1981-08-07,3.45401
1981-08-14,3.38589
1981-08-21,3.30708
1981-08-28,3.22833
1981-09-04,3.15377
1981-09-11,3.08909
1981-09-18,3.02878
1981-09-25,2.97249
1981-10-02,2.92329
1981-10-09,2.87587
1981-10-16,2.83375
1981-10-23,2.79205
1981-10-30,2.74368
1981-11-06,2.67950
1981-11-13,2.59855
1981-11-20,2.50248
1981-11-27,2.40098
1981-12-04,2.30465
1981-12-11,2.21796
1981-12-18,2.14106
1981-12-25,2.07450
1982-01-01,2.01279
1982-01-08,1.95802
1982-01-15,1.91918
1982-01-22,1.89959
1982-01-29,1.90610
1982-02-05,1.93173
1982-02-12,1.97219
1982-02-19,2.01732
1982-02-26,2.05930
1982-03-05,2.09178
1982-03-12,2.11647
1982-03-19,2.13843
1982-03-26,2.15848
1982-04-02,2.17646
1982-04-09,2.19674
1982-04-16,2.21898
1982-04-23,2.24512
1982-04-30,2.28102
1982-05-07,2.33100
1982-05-14,2.39966
1982-05-21,2.48686
1982-05-28,2.58517
1982-06-04,2.68579
1982-06-11,2.78175
1982-06-18,2.86067
1982-06-25,2.91502
1982-07-02,2.94382
1982-07-09,2.95248
1982-07-16,2.94783
1982-07-23,2.94535
1982-07-30,2.95672
1982-08-06,2.99236
1982-08-13,3.05662
1982-08-20,3.14274
1982-08-27,3.24181
1982-09-03,3.33497
1982-09-10,3.39896
1982-09-17,3.41129
1982-09-24,3.35090
1982-10-01,3.20918
1982-10-08,2.99009
1982-10-15,2.70995
1982-10-22,2.39595
1982-10-29,2.07508
1982-11-05,1.77170
1982-11-12,1.50185
1982-11-19,1.27344
1982-11-26,1.08838
1982-12-03,0.94052
1982-12-10,0.82249
1982-12-17,0.72582
1982-12-24,0.63910
1982-12-31,0.55597
1983-01-07,0.47236
1983-01-14,0.38878
1983-01-21,0.30754
1983-01-28,0.23325
1983-02-04,0.16878
1983-02-11,0.11641
1983-02-18,0.07702
1983-02-25,0.04977
1983-03-04,0.03175
1983-03-11,0.02288
1983-03-18,0.01984
1983-03-25,0.01715
1983-04-01,0.01133
1983-04-08,-0.00233
1983-04-15,-0.02601
1983-04-22,-0.05896
1983-04-29,-0.09762
1983-05-06,-0.13671
1983-05-13,-0.17030
1983-05-20,-0.19519
1983-05-27,-0.21125
1983-06-03,-0.21737
1983-06-10,-0.21521
1983-06-17,-0.20682
1983-06-24,-0.19290
1983-07-01,-0.17414
1983-07-08,-0.15381
1983-07-15,-0.13389
1983-07-22,-0.11779
1983-07-29,-0.10680
1983-08-05,-0.10119
1983-08-12,-0.09965
1983-08-19,-0.10138
1983-08-26,-0.10342
1983-09-02,-0.10500
1983-09-09,-0.10555
1983-09-16,-0.10382
1983-09-23,-0.09709
1983-09-30,-0.08440
1983-10-07,-0.06424
1983-10-14,-0.03737
1983-10-21,-0.00558
1983-10-28,0.02570
1983-11-04,0.05471
1983-11-11,0.07792
1983-11-18,0.09551
1983-11-25,0.10780
1983-12-02,0.11419
1983-12-09,0.11382
1983-12-16,0.10502
1983-12-23,0.08516
1983-12-30,0.05367
1984-01-06,0.01431
1984-01-13,-0.02953
1984-01-20,-0.07382
1984-01-27,-0.11400
1984-02-03,-0.14798
1984-02-10,-0.17496
1984-02-17,-0.19326
1984-02-24,-0.20205
1984-03-02,-0.19883
1984-03-09,-0.18159
1984-03-16,-0.14916
1984-03-23,-0.10188
1984-03-30,-0.03970
1984-04-06,0.03705
1984-04-13,0.12757
1984-04-20,0.23253
1984-04-27,0.35090
1984-05-04,0.47811
1984-05-11,0.60893
1984-05-18,0.73603
1984-05-25,0.85356
1984-06-01,0.95853
1984-06-08,1.04734
1984-06-15,1.11869
1984-06-22,1.16834
1984-06-29,1.19096
1984-07-06,1.18163
1984-07-13,1.13951
1984-07-20,1.07063
1984-07-27,0.98309
1984-08-03,0.88830
1984-08-10,0.79609
1984-08-17,0.71260
1984-08-24,0.63886
1984-08-31,0.57380
1984-09-07,0.51593
1984-09-14,0.46195
1984-09-21,0.40887
1984-09-28,0.35582
1984-10-05,0.30256
1984-10-12,0.24852
1984-10-19,0.19445
1984-10-26,0.14181
1984-11-02,0.09179
1984-11-09,0.04458
1984-11-16,-0.00026
1984-11-23,-0.04254
1984-11-30,-0.08378
1984-12-07,-0.12398
1984-12-14,-0.16583
1984-12-21,-0.20967
1984-12-28,-0.25405
1985-01-04,-0.29823
1985-01-11,-0.33791
1985-01-18,-0.36847
1985-01-25,-0.38734
1985-02-01,-0.39314
1985-02-08,-0.38671
1985-02-15,-0.37166
1985-02-22,-0.35146
1985-03-01,-0.32933
1985-03-08,-0.30835
1985-03-15,-0.29122
1985-03-22,-0.27904
1985-03-29,-0.27362
1985-04-05,-0.27733
1985-04-12,-0.28998
1985-04-19,-0.31096
1985-04-26,-0.33803
1985-05-03,-0.36776
1985-05-10,-0.39842
1985-05-17,-0.42565
1985-05-24,-0.44833
1985-05-31,-0.46510
1985-06-07,-0.47487
1985-06-14,-0.47677
1985-06-21,-0.47150
1985-06-28,-0.45944
1985-07-05,-0.44237
1985-07-12,-0.42105
1985-07-19,-0.39583
1985-07-26,-0.36699
1985-08-02,-0.33529
1985-08-09,-0.30084
1985-08-16,-0.26532
1985-08-23,-0.23148
1985-08-30,-0.20196
1985-09-06,-0.17970
1985-09-13,-0.16718
1985-09-20,-0.16646
1985-09-27,-0.17720
1985-10-04,-0.19887
1985-10-11,-0.22853
1985-10-18,-0.26244
1985-10-25,-0.29610
1985-11-01,-0.32510
1985-11-08,-0.34559
1985-11-15,-0.35616
1985-11-22,-0.35635
1985-11-29,-0.34843
1985-12-06,-0.33589
1985-12-13,-0.32211
1985-12-20,-0.31052
1985-12-27,-0.30174
1986-01-03,-0.29816
1986-01-10,-0.29917
1986-01-17,-0.30422
1986-01-24,-0.31284
1986-01-31,-0.32464
1986-02-07,-0.33715
1986-02-14,-0.34843
1986-02-21,-0.35686
1986-02-28,-0.36218
1986-03-07,-0.36584
1986-03-14,-0.37086
1986-03-21,-0.38052
1986-03-28,-0.39803
1986-04-04,-0.42527
1986-04-11,-0.45940
1986-04-18,-0.49689
1986-04-25,-0.53362
1986-05-02,-0.56460
1986-05-09,-0.58615
1986-05-16,-0.59673
1986-05-23,-0.59590
1986-05-30,-0.58496
1986-06-06,-0.56642
1986-06-13,-0.54353
1986-06-20,-0.52178
1986-06-27,-0.50665
1986-07-04,-0.50139
1986-07-11,-0.50737
1986-07-18,-0.52493
1986-07-25,-0.55114
1986-08-01,-0.58196
1986-08-08,-0.61212
1986-08-15,-0.63822
1986-08-22,-0.65553
1986-08-29,-0.66130
1986-09-05,-0.65528
1986-09-12,-0.63903
1986-09-19,-0.61869
1986-09-26,-0.59857
1986-10-03,-0.58284
1986-10-10,-0.57454
1986-10-17,-0.57304
1986-10-24,-0.57524
1986-10-31,-0.57927
1986-11-07,-0.58288
1986-11-14,-0.58529
1986-11-21,-0.58418
1986-11-28,-0.57904
1986-12-05,-0.56901
1986-12-12,-0.55449
1986-12-19,-0.53656
1986-12-26,-0.51857
1987-01-02,-0.50609
1987-01-09,-0.50043
1987-01-16,-0.50128
1987-01-23,-0.50591
1987-01-30,-0.51086
1987-02-06,-0.51166
1987-02-13,-0.50619
1987-02-20,-0.49226
1987-02-27,-0.47001
1987-03-06,-0.43595
1987-03-13,-0.38344
1987-03-20,-0.30836
1987-03-27,-0.20977
1987-04-03,-0.09018
1987-04-10,0.04139
1987-04-17,0.17613
1987-04-24,0.30275
1987-05-01,0.41242
1987-05-08,0.50352
1987-05-15,0.56890
1987-05-22,0.60804
1987-05-29,0.61368
1987-06-05,0.58939
1987-06-12,0.54036
1987-06-19,0.47237
1987-06-26,0.39861
1987-07-03,0.32512
1987-07-10,0.25586
1987-07-17,0.18774
1987-07-24,0.11982
1987-07-31,0.05721
1987-08-07,0.00855
1987-08-14,-0.01835
1987-08-21,-0.01013
1987-08-28,0.03484
1987-09-04,0.11515
1987-09-11,0.22073
1987-09-18,0.34664
1987-09-25,0.48658
1987-10-02,0.63642
1987-10-09,0.78480
1987-10-16,0.91970
1987-10-23,1.02816
1987-10-30,1.10035
1987-11-06,1.12900
1987-11-13,1.12546
1987-11-20,1.10192
1987-11-27,1.06531
1987-12-04,1.02212
1987-12-11,0.96720
1987-12-18,0.90151
1987-12-25,0.82071
1988-01-01,0.72851
1988-01-08,0.63069
1988-01-15,0.53595
1988-01-22,0.44651
1988-01-29,0.36473
1988-02-05,0.29048
1988-02-12,0.22593
1988-02-19,0.17295
1988-02-26,0.13308
1988-03-04,0.10946
1988-03-11,0.10277
1988-03-18,0.11236
1988-03-25,0.13235
1988-04-01,0.16009
1988-04-08,0.19128
1988-04-15,0.21960
1988-04-22,0.24333
1988-04-29,0.25814
1988-05-06,0.26393
1988-05-13,0.26207
1988-05-20,0.25400
1988-05-27,0.24396
1988-06-03,0.23734
1988-06-10,0.23706
1988-06-17,0.24549
1988-06-24,0.26298
1988-07-01,0.28778
1988-07-08,0.31589
1988-07-15,0.34417
1988-07-22,0.36991
1988-07-29,0.38967
1988-08-05,0.40243
1988-08-12,0.40595
1988-08-19,0.39899
1988-08-26,0.38148
1988-09-02,0.35677
1988-09-09,0.32779
1988-09-16,0.30004
1988-09-23,0.27713
1988-09-30,0.25879
1988-10-07,0.24296
1988-10-14,0.22745
1988-10-21,0.21085
1988-10-28,0.19387
1988-11-04,0.17847
1988-11-11,0.16717
1988-11-18,0.16045
1988-11-25,0.15803
1988-12-02,0.15737
1988-12-09,0.15773
1988-12-16,0.15751
1988-12-23,0.15832
1988-12-30,0.15968
1989-01-06,0.16329
1989-01-13,0.17011
1989-01-20,0.18115
1989-01-27,0.20012
1989-02-03,0.23099
1989-02-10,0.27692
1989-02-17,0.33963
1989-02-24,0.41559
1989-03-03,0.50031
1989-03-10,0.58421
1989-03-17,0.65963
1989-03-24,0.71789
1989-03-31,0.75292
1989-04-07,0.76274
1989-04-14,0.74638
1989-04-21,0.70368
1989-04-28,0.64287
1989-05-05,0.56703
1989-05-12,0.48729
1989-05-19,0.41195
1989-05-26,0.35081
1989-06-02,0.30905
1989-06-09,0.28684
1989-06-16,0.27905
1989-06-23,0.27816
1989-06-30,0.27550
1989-07-07,0.26650
1989-07-14,0.24882
1989-07-21,0.22744
1989-07-28,0.20837
1989-08-04,0.19553
1989-08-11,0.19550
1989-08-18,0.20803
1989-08-25,0.23215
1989-09-01,0.26521
1989-09-08,0.30221
1989-09-15,0.33914
1989-09-22,0.36953
1989-09-29,0.38966
1989-10-06,0.39453
1989-10-13,0.38150
1989-10-20,0.35104
1989-10-27,0.30594
1989-11-03,0.25152
1989-11-10,0.19540
1989-11-17,0.14228
1989-11-24,0.09743
1989-12-01,0.06314
1989-12-08,0.04035
1989-12-15,0.02857
1989-12-22,0.02681
1989-12-29,0.03281
1990-01-05,0.04519
1990-01-12,0.05994
1990-01-19,0.07267
1990-01-26,0.08144
1990-02-02,0.08289
1990-02-09,0.07737
1990-02-16,0.06692
1990-02-23,0.05509
1990-03-02,0.04555
1990-03-09,0.04068
1990-03-16,0.04310
1990-03-23,0.05148
1990-03-30,0.06444
1990-04-06,0.07947
1990-04-13,0.09123
1990-04-20,0.09730
1990-04-27,0.09360
1990-05-04,0.07692
1990-05-11,0.04757
1990-05-18,0.00764
1990-05-25,-0.03828
1990-06-01,-0.08484
1990-06-08,-0.12560
1990-06-15,-0.15666
1990-06-22,-0.17674
1990-06-29,-0.18409
1990-07-06,-0.17942
1990-07-13,-0.16379
1990-07-20,-0.13654
1990-07-27,-0.09919
1990-08-03,-0.05444
1990-08-10,-0.00454
1990-08-17,0.04553
1990-08-24,0.09523
1990-08-31,0.14393
1990-09-07,0.19417
1990-09-14,0.24537
1990-09-21,0.29682
1990-09-28,0.34560
1990-10-05,0.38304
1990-10-12,0.40724
1990-10-19,0.41910
1990-10-26,0.41953
1990-11-02,0.41564
1990-11-09,0.41238
1990-11-16,0.41155
1990-11-23,0.41580
1990-11-30,0.42689
1990-12-07,0.44182
1990-12-14,0.46185
1990-12-21,0.48589
1990-12-28,0.50507
1991-01-04,0.50952
1991-01-11,0.49557
1991-01-18,0.45643
1991-01-25,0.39127
1991-02-01,0.31321
1991-02-08,0.22940
1991-02-15,0.14966
1991-02-22,0.07928
1991-03-01,0.01881
1991-03-08,-0.03439
1991-03-15,-0.08109
1991-03-22,-0.12183
1991-03-29,-0.15657
1991-04-05,-0.18361
1991-04-12,-0.20376
1991-04-19,-0.21944
1991-04-26,-0.23085
1991-05-03,-0.23906
1991-05-10,-0.24404
1991-05-17,-0.24369
1991-05-24,-0.23847
1991-05-31,-0.23009
1991-06-07,-0.22234
1991-06-14,-0.21987
1991-06-21,-0.22770
1991-06-28,-0.24720
1991-07-05,-0.27911
1991-07-12,-0.32001
1991-07-19,-0.36653
1991-07-26,-0.41303
1991-08-02,-0.45524
1991-08-09,-0.49082
1991-08-16,-0.51731
1991-08-23,-0.53589
1991-08-30,-0.54843
1991-09-06,-0.55527
1991-09-13,-0.56024
1991-09-20,-0.56350
1991-09-27,-0.56648
1991-10-04,-0.56984
1991-10-11,-0.57587
1991-10-18,-0.58412
1991-10-25,-0.59361
1991-11-01,-0.60415
1991-11-08,-0.61390
1991-11-15,-0.62204
1991-11-22,-0.62878
1991-11-29,-0.63553
1991-12-06,-0.64366
1991-12-13,-0.65350
1991-12-20,-0.66199
1991-12-27,-0.66963
1992-01-03,-0.67223
1992-01-10,-0.67309
1992-01-17,-0.66986
1992-01-24,-0.66691
1992-01-31,-0.66603
1992-02-07,-0.66608
1992-02-14,-0.66708
1992-02-21,-0.66696
1992-02-28,-0.66592
1992-03-06,-0.66428
1992-03-13,-0.66322
1992-03-20,-0.66579
1992-03-27,-0.67366
1992-04-03,-0.68703
1992-04-10,-0.70612
1992-04-17,-0.72878
1992-04-24,-0.75444
1992-05-01,-0.78078
1992-05-08,-0.80546
1992-05-15,-0.82790
1992-05-22,-0.84739
1992-05-29,-0.86355
1992-06-05,-0.87724
1992-06-12,-0.89012
1992-06-19,-0.90246
1992-06-26,-0.91425
1992-07-03,-0.92493
1992-07-10,-0.93332
1992-07-17,-0.93906
1992-07-24,-0.94126
1992-07-31,-0.93964
1992-08-07,-0.93464
1992-08-14,-0.92731
