open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1657238400000,21611.92000000,22500.00000000,21160.46000000,21581.17000000,108923.35414000,1657324799999,2368263473.85057460,1365132,54292.86460000,1180533174.74321710,0
1657324800000,21580.47000000,21960.00000000,21312.50000000,21579.82000000,91695.31879000,1657411199999,1981045649.60482930,1021928,45260.56606000,977904652.02281810,0
1657411200000,21579.82000000,21594.45000000,20635.00000000,20847.61000000,88810.19791000,1657497599999,1876658394.13670790,1060780,43676.03589000,922914819.43689660,0
1657497600000,20850.00000000,20853.97000000,19856.00000000,19943.80000000,55959.58461000,1657583999999,1143416310.36204880,915418,27315.24338000,558291837.96599610,0
1657584000000,19946.48000000,20044.99000000,19221.30000000,19311.68000000,62602.45944000,1657670399999,1234329232.36157060,1142370,30731.25940000,606014399.41715890,0
1657670400000,19310.00000000,20340.00000000,18900.00000000,20218.44000000,95037.88448000,1657756799999,1859331601.98789280,1386511,47285.01668000,925237206.46754060,0
1657756800000,20217.99000000,20883.80000000,19610.34000000,20576.31000000,71120.18715000,1657843199999,1432077528.27351070,1190939,35588.94640000,716765411.72435190,0
1657843200000,20573.19000000,21195.00000000,20365.51000000,20822.62000000,72535.96166000,1657929599999,1509896273.57948030,1155024,36463.35112000,758956708.26960460,0
1657929600000,20822.54000000,21580.34000000,20473.93000000,21189.63000000,50296.62650000,1658015999999,1055050264.19179780,864745,25149.92536000,527645438.17744760,0
1658016000000,21189.14000000,21672.44000000,20744.73000000,20793.99000000,46200.27453000,1658102399999,980701362.65307650,897124,22781.57256000,483722294.70479450,0
1658102400000,20793.97000000,22773.26000000,20758.78000000,22428.22000000,96653.55188000,1658188799999,2121894121.22189750,1519164,48790.06814000,1071166662.45213110,0
1658188800000,22428.16000000,23804.16000000,21577.00000000,23399.39000000,107088.45742000,1658275199999,2415554846.79813820,1815359,53444.76304000,1205728494.47435400,0
1658275200000,23399.93000000,24283.32000000,22910.53000000,23227.54000000,96339.10042000,1658361599999,2273074888.71094500,1649942,48169.86564000,1136496963.29036660,0
1658361600000,23224.90000000,23441.64000000,22341.00000000,23157.12000000,73389.21044000,1658447999999,1680252944.29611930,1292156,36192.57596000,828642853.80855100,0
1658448000000,23153.45000000,23762.67000000,22501.12000000,22685.55000000,76397.59242000,1658534399999,1771910523.75571890,1220427,38135.50741000,884492136.42769170,0
1658534400000,22685.00000000,23000.00000000,21938.00000000,22449.22000000,46400.35008000,1658620799999,1042525519.28702930,837293,23174.40195000,520587329.54248620,0
1658620800000,22449.26000000,23016.00000000,22261.38000000,22579.59000000,55558.56844000,1658707199999,1259789117.82920720,1016427,27615.69065000,626243749.11840500,0
