Entry_Date,Entry_Price,Exit_Date,Exit_Price,Return
2022-11-28,144.22000122070312,2022-11-30,148.02999877929688,-0.02641795538999632
2022-11-30,141.39999389648438,2022-12-06,147.07000732421875,0.04009910659462446
2022-12-06,142.91000366210938,2023-01-11,133.49000549316406,0.06591559672209914
2023-01-11,131.25,2023-02-21,150.1999969482422,0.1443809291294643
2023-02-21,148.47999572753906,2023-03-03,151.02999877929688,-0.017174051219916997
2023-03-03,148.0399932861328,2023-03-09,153.55999755859375,0.037287250221579187
2023-03-09,150.58999633789062,2023-03-13,150.47000122070312,0.0007968332565614618
2023-03-13,147.80999755859375,2023-08-03,191.57000732421875,0.29605581820186405
2023-08-03,191.1699981689453,2023-08-29,184.1199951171875,0.03687818757798708
2023-08-29,179.6999969482422,2023-09-07,175.17999267578125,-0.025153057035180722
2023-09-07,177.55999755859375,2023-10-06,177.49000549316406,0.0003941882540665756
